,CHAPTER,PAGE,TEXT
0,10,1,"Das ÃutyNkIläı-*ungﬁsgesípräclh *undf
diífe åﬂršztiipilche GAesApr%äc lh@ sf'üih .rußnfg

©. šp.rírr.genf\iemlag_ Grﬁbl¬l\ .Dfeutêsﬁ hlıaınıﬁlı2âfl¬7
 Se ñrim pﬁ/M. låafh rgëmfgírin, fDe' ` ' Lfifr, Ãrziêiffıhen* 
ıııøı 1mQı17Leízsg3+6G;ı536W-ø±wp

"
1,10,2,"138 Kapitel 10 - Das Aufklärungsgespräch und die ärztliche Gesprächsführung

Übung 10.1

Transfersprache

10.1 Das Aufklärungsgespräch

Tragen Sie in Kleingruppen zusammen, was Ihrer Meinung nach zu einem
guten Aufklärungsgespräch für eine ärztliche Intervention dazugehört.

a. Welche Informationen sollten dem Patienten mitgeteilt werden?

b. In welche 4 Abschnitte können diese gegliedert werden?

c. Was sollte aufjeden Fall beachtet werden?

d. Was sollte vermieden werden?

Tauschen Sie sich im Plenum dazu aus.

Lesen Sie den folgenden Text, der die wichtigsten Aspekte zur Aufklärung von
Patienten in Deutschland darstellt. DerText enthält einige schwierige Begriffe,
die wir in der UTab. 10.1 im Anschluss zusammengetragen haben. Kennen Sie
deren Bedeutung? Erklären Sie einander, was mit diesen Begriffen gemeint ist.
Eine Auflösung finden Sie im Lösungsteil (› Kap. 14).

Vergleichen Sie die von Ihnen zusammengetragenen Punkte mit jenen dieses
Textes. Welche neuen Aspekte haben Sie bei der Lektüre eventuell gelernt?

10.1.1 Rechtliche Grundlagen

Der Artikel 2 des Grundgesetzes für die Bundesrepublik Deutschland sichert
jedem Menschen das Recht auf Leben und körperliche Unversehrtheit. Voraus-
setzung für eine legale ärztliche Intervention ist zum einen die medizinische

I Tab. 10.1 Aufklärung des Patienten (Lösungen › Kap. 14)
Begriff Bedeutung

die Einwilligung eine Erklärung, dass man einverstanden ist 

das Grundgesetz

die Unversehrtheit

legal

das Für und Wider

die Patientenautonomie

die sittliche und geistige Reife

die Tragweite

die Urteílsfähigkeit

das Veto

das Betreuungsgericht

"
2,10,3,"10.1 - Das Aufklärungsgespräch

Indikation für diese Maßnahme und zum anderen die Einwilligung des Patienten
in dieselbe. Wenn diese beiden Punkte nicht eingehalten werden, stellt ein ärzt-
licher Eingriff juristisch betrachtet eine Körperverletzung dar. Das gilt sowohl
für therapeutische als auch diagnostische Eingriffe.

Einer Einwilligung des Patienten muss eine Auﬂ<lärung über die geplante
Maßnahme vorausgehen. Diese bildet die Grundlage für die freie Entscheidung
eines Patienten für oder gegen eine ärztliche Maßnahme. Die Auﬂ<lärung muss
durch einen Arzt erfolgen. Sie darf nicht an anderes medizinisches Personal oder
zum Beispiel an Studenten delegiert werden. Die Auﬂclärung muss rechtzeitig, in
der Regel mindestens einen Tag vor dem Eingriff, erfolgen. Bei notfallmäßigen
Eingriffen kann dieser Zeitraum unterschritten werden. Allgemein gilt, dass die
Anforderungen an eine Auﬂdärung geringer sind, desto dringlicher der Eingriff
ist - und umgekehrt. Die Patienten sollten ausreichend Zeit haben, über das Für
und Wider eines ärztlichen Eingriffs nachzudenken und zu einer eigenen Ent-
scheidung zu kommen. In keinem Fall darf Druck auf den Patienten ausgeübt
werden, sich auf eine bestimmte Art zu entscheiden. Die Patientenautonomie
hat Vorrang vor der medizinischen Auffassung des Arztes. Ieder Patient hat das
Recht, einer ärztlicherseits empfohlenen Maßnahme zu widersprechen. Dies
wird am besten auch schriftlich festgehalten mit einer sog. Ablehnung gegen
ärztlichen Rat.

Voraussetzung dafür, dass ein Patient aufgeklärt werden und einwilligen
kann, ist seine Fähigkeit nach sittlicher und geistiger Reife, die Bedeutung und
Tragweite der Einwilligung zu erkennen und nach dieser Einsicht zu handeln.
Eine Einwilligung kann ausdrücklich oder konkludent erfolgen. Letzteres bedeu-
tet, dass die Einwilligung aus dem Verhalten des Patienten sichtbar wird. Erklärt
ein Arzt zum Beispiel einem Patienten, dass er eine Blutabnahme vornehmen will,
und streckt ihm dieser daraufhin wortlos seinen Arm für die Abnahme entgegen,
wird aus diesem Verhalten sein Einverständnis deutlich. Wichtig ist, dass alle für
die Maßnahme relevanten Aspekte besprochen werden müssen. Dabei müssen
sowohl die Erkrankung (Diagnose) als auch die Maßnahme (Behandlung) erklärt
werden. Insbesondere müssen die Risiken der Maßnahme dargelegt und Alter-
nativen besprochen werden ebenso wie der zu erwartende Verlauf. Grundlegen-
des Prinzip ist der sog. „informed consent“, das heißt dass der Patient erst nach
ausreichender Information über alle relevanten möglichen Vor- und Nachteile
(Chancen und Risiken) einwilligen soll. Falls vom Patienten gewünscht, muss
zusätzliches oder weiterführendes Informationsmaterial zur Verfügung gestellt
werden. Obgleich dieser Fall in der Praxis selten vorkommt, haben Patienten das
Recht, auf eine Auﬂ<lärung komplett zu verzichten. Ein Auﬂdärungsgespräch
sollte dokumentiert werden. So kann unter Anderem nachgewiesen werden, dass
es stattgefunden hat und welche Punkte besprochen wurden. Für die Dokumen-
tation können auch vorgefertigte Auﬂdärungsbögen verwendet werden. Es reicht
aber in keinem Fall aus, einen solchen Bogen einfach nur dem Patienten zu geben
und diesen unterschreiben zu lassen.

Bei Kindern müssen die Eltern über die geplante Maßnahme aufgeklärt
werden und in diese einwilligen. Ab dem 14. Lebensjahr kann bei ausreichen-
der Urteilsfähigkeit auch das Kind zustimmen. In jedem Fall kann es sein Veto
gegen einen Eingriff einlegen, das heißt äußern, dass es den Eingriff nicht machen
lassen will. Im Zweifelsfall sollte sowohl die Einwilligung des Kindes als auch der
Eltern eingeholt werden.

Kann ein Patient aufgrund einer Behinderung, einer psychischen Erkran-
kung oder sonstigen geistigen Beeinträchtigung eine Auﬂdärung über eine
Maßnahme nicht oder nicht mehr verstehen, so muss ein gesetzlicher Betreuer,
der durch ein Betreuungsgericht bestellt wird, für den Patienten entscheiden.

139

10

"
3,10,4,"140 Kapitel 10 - Das Aufklärungsgespräch und die ärztliche Gesprächsführung

Übung 10.2

®1o.2

http://extras.springer.
com/201 7/978-3-662-53606-3.
10.2 - Hörverständnis

Die Aufgaben eines gesetzlichen Betreuers können von Familienangehöri-
gen oder von professionellen Betreuern übernommen werden. Letztere sind
oft Rechtsanwälte. Mithilfe einer vorab erstellten Vorsorgevollmacht können
Patienten Vertraute, z. B. Familienangehörige, bestimmen, die an ihrer Stelle
für sie entscheiden sollen, wenn sie selbst krankheitsbedingt dazu nicht in der
Lage sein sollten (z. B. nach einem Schlaganfall, aufgrund einer fortgeschritte-
nen dementiellen Entwicklung). Dabei müssen sich die Bevollmächtigten vom
Willen des Patenten leiten lassen. Sollten Fragen auftauchen, die nicht gemein-
sam vorab besprochen wurden, muss auf Basis des mutmaßlichen Willens des
Patienten entschieden werden, das heißt ausgehend von dessen grundsätzli-
chen Überzeugungen, Haltungen und Sichtweisen. Neben einer Vorsorgevoll-
macht besteht auch die Möglichkeit, eine Patientenverfügung zu verfassen,
in der festgehalten wird, zu welchen medizinischen Maßnahmen der Patient
in welcher Situation bereit ist. Der behandelnde Arzt muss dann prüfen, ob
die Bestimmungen auf die aktuelle Lebens- und Behandlungssituation zutref-
fen. Wenn dies der Fall ist, muss eine Patientenverfügung umgesetzt werden.
Hat beispielsweise ein Patient verfügt, dass alle lebensverlängernden Maßneh-
men unterlassen werden sollen, falls er sich im Endstadium einer unheilba-
ren, tödlich verlaufenden Krankheit beﬁndet, so dürfen keine Infusionen mehr
gegeben werden, keine künstliche Beatmung erfolgen und auch keine Reani-
mation durchgeführt werden.

10.1.2 Beispiel: Aufklärungsgespräch Karsten Weber

Das Ergebnis der Fallbesprechung von Frau Dr. Fiori mit ihrem Oberarzt ist, dass
eine intravenöse Lysetherapie bei einem Verdacht auf einen zerebralen Infarkt
rechts-hemispheriell durchgeführt werden soll. Nun muss Frau Dr. Fiori (A)
ihren Patienten I-Ierrn Karsten Weber (P) über den geplanten Eingriff auﬂdären
und sein Einverständnis einholen.

1. Setzen Sie sich in 2er-Gruppen zusammen und simulieren Sie ein solches
Auﬂdärungsgespräch. Machen Sie sich ggf. Notizen, um das Gespräch vor-
oder nachzubereiten.

2. Vergleichen Sie das zwischen Ihnen geführte Gespräch mit dem folgenden
Beispieltext. Was haben Sie ähnlich gemacht, was eventuell ganz anders? Was
war gut, was kann verbessert werden?

3. Halten Sie das Beispielgespräch für gelungen? Welche Punkte aus dem
einführenden Text werden beachtet, welche eventuell nicht? Gibt es für
Abweichungen von den Vorgaben des einführenden Textes gegebenenfalls
gute Gründe? Eine Antwort zu dieser Frage ﬁnden Sie im Lösungsteil.

4. In U Abb. 10.1 ﬁnden Sie einen Beispielaufklärungsbogen für die
Lysetherapie, mit dem ein entsprechendes Aufklärungsgespräche und die
Einwilligung durch den Patienten schriftlich dokumentiert werden können.
Sieht dieser Bogen ähnlich aus, wie Sie das aus Ihrem Heimatland gewohnt
sind oder entdecken Sie wichtige Unterschiede?

~ A: „Herr Weber, wir haben jetzt die CT-Aufnahmen Ihres Kopfes
angesehen. Darauf können wir keine Blutung erkennen. Bisher zeigen sich
auch noch keine eindeutigen Folgen eines Schlaganfalls. Aufgrund Ihrer
Symptome sind wir uns aber sicher, dass Sie einen Schlaganfall haben. Da
Sie rechtzeitig gekommen sind, zeigt dieser sich noch nicht im CT-Bild.""
_ P: „Ein Schlaganfall, ja? Was bedeutet das?“

"
4,10,5,"10.1 - Das Aufklärungsgespräch

A: „Ein Schlaganfall wird hervorgerufen durch eirı Blutgerinnsel in einer
Arterie, die das Gehirn versorgt. Wenn das Hirngewebe zu lange nicht
mehr mit Blut und somit mit Sauerstoff versorgt wird, stirbt es ab. Dann
kommt es zu Funktionsausfällen und oft zu Behinderungen.“

P: „Und was kann man da machen?""

A: „Wir haben die Möglichkeit der Lysetherapie. Das ist eine Behandlung
mit einem Medikament, das wir Ihnen als Infusion in die Vene geben.
Dieses Medikament soll das Blutgerinnsel auﬂösen. Wir erwarten, dass
Ihre Beschwerden sich dadurch zurückbilden.""

P: „Heißt das, diese Schwäche wird wieder komplett verschwinden?""

A: „Leider kann ich nicht vorhersehen, wie gut die Therapie bei Ihnen
anschlagen wird und wie weit sich die Ausfallserscheinungen zurückbilden
werden, aber wir haben eirıe gute Chance, eine deutliche Verbesserung zu
erreichen.“

P: „Das klingt gut.""

A: „Ich muss Sie auch über die Risiken dieser Therapie informieren. Bei
einem von 10 Patienten kann es zu einer Hirnblutung kommen, die meist
jedoch keine dauerhafte Verschlechterung nach sich zieht. Außerdem
können unter der Behandlung der Blutdruck abfallen, allergische
Reaktionen auftreten sowie Übelkeit und Erbrechen. Diese Nebenwir-
kungen können wir aber in der Regel auf der Schlaganfallstation medika-
mentös gut behandeln.""

P: „Das mit der Hirnblutung klingt nicht gut. Ietzt bin ich unsicher. Wie
soll ich mich entscheiden? Frau Doktor, was würden Sie machen?“

A: „Die möglichen Vorteile der Lysetherapie überwiegen nach unserer
Einschätzung die möglichen Nachteile. Aus diesem Grund rate ich Ihnen
klar zu dieser Behandlung, vor allem da Sie eine relevante Beeinträch-
tigung durch den Schlaganfall haben. Außerdem haben Sie gute Chancen
auf einen Behandlungserfolg, da Sie so rasch nach Symptombeginn zu uns
ins Krankenhaus gekommen sind. Aber Sie sollten wissen, dass auch diese
Behandlung nicht ganz ohne mögliche Nebenwirkungen ist.

P: „Gibt es denn Alternativen?""

A: „Die wichtigste Alternative ist, auf die Lysetherapie zu verzichten. Denn
auch ohne diese Behandlung können sich die Ausfallerscheinungen, die
durch einen Schlaganfall verursacht sind, wieder zurückbilden. Oft bleibt
aber eine schwerere Behinderung zurück, als dies mit einer Lysetherapie
der Fall gewesen wäre.""

P: „Und gibt es vielleicht andere Medikamente, die keine Hirnblutung
machen können?“

A: „Die gibt es leider nicht. Tatsächlich können und müssen Sie jetzt nur
entscheiden, ob Sie die Lysetherapie machen lassen wollen oder nicht.
Nochmal: Trotz der auch bestehenden Risiken empfehle ich Ihnen, diese
Behandlung machen zu lassen.“

P: „Gut, ich bin einverstanden.""

A: „Gut. Dann bitte ich Sie, diesen Bogen zu unterschreiben. Darauf sind
all die Punkte aufgeführt, die wir gerade besprochen haben. Unten willigen
Sie mit Ihrer Unterschrift in die Behandlung ein.""

Frau Dr. Fiori gibt I-Ierrn Weber den Auﬂdärungsbogen zur Lysetherapie der
Klinik, urn die Auﬂdärung und die Einwilligung auch schriftlich zu dokumen-
tieren (B Abb. 10.1 ). Herr Weber überﬂiegt den Text und unterschreibt. Danach
unterschreibt auch Frau Dr. Fiori und legt den Bogen zu den restlichen Unter-
lagen des Patienten.

141

10

"
5,10,6,"142 Kapitel 10 - Das Aufklärungsgespräch und die ärztliche Gesprächsführung

Patient:
Hr. Karsten Weber, 13.05.1947,
Otto-Suhr-Allee 130, 14059 Berlin

Klinikum St. Martin
Friedrichstr. 10
13156 Berlin

Aufklärung Lysetherapie

Fall-Nr. 5523867-001
Aufnahme 20.07.2016

Klinik für Neurologie
Prof. Marie Babinski
Chefärztin

   

Anwendung und Wirksamkeit:

Die Thrombolysebehandlung ist bei frischem Hirninfarkt (Schlaganfall) wirksam und dafür zugelassen. Das
dazu benutzte Medikament Alteplase wird als Infusion gegeben und soll das Blutgerinnsel auflösen, das zum
Schlaganfall geführt hat. Durch die Lysetherapie lässt sich die Behinderung durch den Schlaganfall bei vielen
Patienten reduzieren. Die Behandlung sollte notfallmäßig innerhalb der ersten 4,5 Stunden nach Beginn der
Schlaganfall-Symptome begonnen werden.

Nebenwirkungen und Risiken:

Am häuﬁgsten sind Blutungen. Die meisten Blutungen sind oberflächlich und harmlos (zum Beispiel an der
Einstichstelle vom Blutabnehmen oder Nasenbluten). Selten kommen Blutungen aber auch an inneren Organen
vor. Manchmal sind Bluttransfusionen notwendig. Beijedem 10. Patienten kommt es zu einer Hirnblutung, die
jedoch meist keine dauerhafte Verschlechterung hervorruft. Zwar treten mehr tödliche Hirnblutungen unter der
Lysetherapie auf, dies wird jedoch durch die erfolgreiche Behandlung des Blutgerinnsels und der damit
verringerten Sterblichkeit bei anderen Patienten ausgeglichen. Die Sterblichkeit nach Schlaganfall wird durch
die Lysetherapie insgesamt nicht beeinflusst. Als weitere Nebenwirkungen können Blutdruckabfall, allergische
Reaktionen, Übelkeit und Erbrechen auftreten, die im Krankenhaus jedoch in der Regel gut beherrschbar sind.

Einwilligung:

Ich wurde von Dr ............  .......................... ..über die Lysetherapie zur Behandlung des
Hirninfarktes aufgeklärt.

Besonderheiten:
Ich willige in die Behandlung ein. E JA Ü NEIN
Datum  Unterschrift Patient  ..... .. Unterschrift Arzt .....  ....... ..

Notfallbehandlung:

Der Patient ist aufgrund seiner Verfassung nicht einwilligungsfähig. Die Behandlung wird daher als
Notfallbehandlung durchgeführt. Die Entscheidung wurde gemeinsam mit einem Angehörigen getroffen.

Datum ................... .. Unterschrift Angehöriger .................... .. Unterschrift Arzt ........... ..

I Abb.10.1 Aufklärung Lysetherapie

"
6,10,7,"143
10.2 - Allgemeine Techniken der ärztlichen Gesprächsführung

- A: „Herr Weber, bitte sagen Sie uns noch, wie schwer Sie sind.“
_ P: „85 Kilo, ungefahr.“

Dann ruft Frau Dr. Fiori ihrem Krankenpﬂeger zu:
_ A: „Robert, machen Sie bitte einen Alteplase-Perfusor fertig mit 76,5 mg;
7,7 mg als Bolus, den Rest über 1 Stunde laufen lassen.""

Krankenpﬂeger Robert hat bereits alle Utensilien vorbereitet, die Infusion ist
schnell hergestellt und der Perfusor vorbereitet. Kurz darauf läuft die Lysetherapie.

10.2 Allgemeine Techniken der ärztlichen
Gesprächsführung

10.2.1 Aktives, empathisches Zuhören

Der Begriff „aktives Zuhören"" wurde von dem amerikanischen Psychologen
Carl Rogers eingeführt und von seinem Landsmann Thomas Gordon zur ope-
rativen Methode entwickelt. Aktives Zuhören kann jederzeit, überall und von
jedem angewandt werden. Es sichert aktiv das korrekte Verstehen, daher der
Name. Aktives Zuhören ist ein Prozess, in dem sich der Empfänger der Signale
mit einer Kontrollfrage an den Sender versichert, class er die Botschaft richtig
verstanden hat.

Aktives Zuhören ist die grundlegende Methode der patientenzentrierten
Gesprächsführung im Rahmen eines partnerschaftlichen Modells, das die ärzt-
liche Behandlung als das Ergebnis einer Kooperation zwischen Arzt und Patient
ansieht.

Patientenzentrierte Gesprächsführung bedeutet, dem Patienten genügend
Raum zu geben, sich um die Lebensumstände, die von der Erkrankung beein-
ﬂusst werden, zu kümmern. Damit wird aktives Zuhören besonders bedeutsam
bei schweren und chronischen Erkrankungen, bei denen der persönliche Hin-
tergrund in die Behandlungssituation einﬂießt. Auch bei Complianceproblemen
sind die Techniken von herausgehobener Bedeutung.

Mit dem Begriíf„empathisches Zuhören"" ist gemeint, dass der Zuhörer dem
Sender die Möglichkeit gibt, sich gehört und ernst genommen zu fühlen.

1. lm Folgenden sind verschiedene Beispiele für wichtige Techniken der Übung 10.3

ärztlichen Gesprächsführung genannt, die die Umsetzung des„aktiven

empathischen Zuhörens"" ermöglichen. Lesen Sie die Gesprächsauszüge und

ordnen Sie sie in B Tab. 10.2 den verschiedenen Techniken zu. Sie können Ihre

Ergebnisse mit den Angaben im Lösungsteil vergleichen, wenn Sie möchten

(› Kap. 14).

H Tab. 10.2 Übung 10.1:Zuordnung von Gesprächsauszug und Technik (Lösungen › Kap. 14)
Gesprächsauszug A B C D E F G

Technik ?

10

"
7,10,8,"144 Kapitel 10 - Das Aufklärungsgespräch und die ärztliche Gesprächsführung

G103

http://extras.springer.com/2017/
978-3-662-53606-3.
10.3 - Hörverständnis

Gesprächsauszüge

Gesprächsauszug A

Patientin: Mein Mann kann mir mit meinen Problemen auch nicht
wirklich helfen. Der trinkt sowieso fast täglich bis zum Umfallen.

Arzt: Was meinen Sie mit „bis zum Umfallen""? Wie viel trinkt Ihr Mann
und wie oft?

Gesprächsauszug B

Arzt: Also, ich fasse noch mal zusammen, was Sie mir erzählt haben: Seit
gestern haben Sie vermehrtes Wasserlassen und Brennen beim Wasser-
lassen. Auch haben Sie den Eindruck, dass Ihr Urin leicht rötlich verfarbt
ist. Habe ich das richtig verstanden?

Patientin: Ia, genau. Dabei fällt mir noch ein . ..

Gesprächsauszug C

Ärztin: Sie haben vorhin erzählt, dass Sie Probleme auf der Arbeit haben.
Möchten Sie dazu noch mehr sagen?

Patientin: Ich arbeite wie verrückt und bekomme keine Anerkennung
von meiner Cheﬁn. Ich kann tun, was sie will; sie hat immer etwas an mir

auszusetzen. Ich birı wirklich ratlos . . .
Ärztin: Hm  (3 Sekunden Pause).

Gesprächsauszug D

Patient: Ich habe seit gestern Morgen nichts gegessen, so schlecht ist mir
die ganze Zeit!

Arzt: Nichts gegessen . . .

Patient: Ia, gar nichts, noch nicht mal eine Kleinigkeit wie ein Stück Brot.
Das kommt bei mir sonst nie vor; das will schon was heißen . ..

Gesprächsauszug E

Patientin: Seit heute Morgen habe ich dieses komische Gefühl in der
Brust.

Arzt: Erzählen Sie mir mehr über dieses Gefühl. Wie würden Sie es
beschreiben?

Gesprächsauszug F

Patient: Als ich nachts aufwachte, war ich schweißgebadet, und mein Herz
raste.

Ärztin: Ah ja.

Patient: Ich bin dann einmal aufgestanden und habe eirı Glas kaltes Wasser
getrunken.

Gesprächsauszug G

Patientin: Ich möchte nicht operiert werden, ich will nicht ins
Krankenhaus! Ich kann das meinen Kindern nicht antun, die brauchen
mich! Wie sollen sie ohne mich auskommen?

Arzt: Sie machen sich Sorgen, weil Sie das Gefühl haben, nicht genügend
für Ihre Kinder da sein zu können.

Patientin: Ia, genau. Sie haben sowieso schon genug darunter zu leiden,
dass es mir in der letzten Zeit nicht so gut geht. Ich will sie nicht noch mehr
belasten. Es soll ihnen doch gut gehen!

Arzt: OK, ich verstehe. Sie haben ein schlechtes Gewissen, weil Sie krank
sind, und Sie denken, dass Sie Ihre Kinder damit belasten.

"
8,10,9,"10.2 - Allgemeine Techniken der ärztlichen Gesprächsführung

Techniken der Gesprächsführung
1: Echoing.

2: Paraphrasieren.

3: Pausen machen.

4: Zusammenfassen der Inhalte.

5: Nachfragen.

6: Ermutigung zur Weiterrede.

7: Stellen von offenen Fragen.

Führen Sie nun in 2er-Gruppen in Form eines Rollenspiels ein Anamnese-
gespräch zu einem Thema oder einer Krankheit Ihrer Wahl und versuchen
Sie, möglichst viele der genannten Techniken anzuwenden.Werten Sie die
Gespräche anschließend gemeinsam mit Ihrem Partner aus:
e. Rolle des Arztes:

- WelcheTechniken haben Sie besonders oft angewandt? Welche

weniger?

- WelcheTechniken erscheinen Ihnen besonders effektiv, welche weniger?

- usw.
f. Rolle des Patienten:

- WelcheTechniken fanden Sie besonders angenehm?

- WelcheTechniken fanden Sie besonders produktiv?

- WelcheTechniken erscheinen Ihnen eher unangenehm oder künstlich,

wenig sinnvoll?

- usw.
Wie würden Sie den folgenden Gesprächsauszug bewerten? Handelt es
sich hierbei um eine erfolgreiche Arzt-Patienten-Kommunikation? Wenn ja,
warum? Wenn nein, warum nicht?
Welche der genannten Techniken der ärztlichen Gesprächsführung werden
hier angewendet? Markieren Sie die unterschiedlichen Techniken und
benennen Sie sie. Die Auﬂösung ﬁnden Sie im Lösungsteil am Ende des
Buches (› Kap. 14).

Auszug aus einem Arzt-Patienten-Gespräch

A: Ich habe Ihnen die Ergebnisse des kardiologisch-kardiochirurgischen
Kolloquiums mitgeteilt und würde nun gern hören, welche Gedanken Sie
sich zwischenzeitlich gemacht haben und ob Sie die Entscheidung meiner
Kollegen teilen können.

P: Ich bin erst einmal geschockt, dass der Befund so lebensbedrohlich ist
und dass ich mich sofort operieren lassen muss. Mir wäre es lieber gewesen,
noch einige Monate Zeit zu haben, um meinen beruﬂichen Verpﬂichtungen
nachzugehen und noch einmal mit meiner Familie Urlaub zu machen.

A: Ia, ich sehe, der Befund kommt sehr überraschend für Sie und Sie
müssen sich erst an die Situation gewöhnen. Wenn Sie möchten, kann ich
Ihnen noch einmal die Vorteile einer baldigen Operation erklären.

P: Ia, darum möchte ich Sie bitten. Ich bin im Moment zu sehr überrascht,
um einzuwilligen. Ich brauche noch einige Informationen zu Nutzen und
Risiken der Operation.

Der Arzt klärt ausführlich über den Eingriff und seine Risiken auf und schließt
mit den Worten:

A: Aus allen diesen Gründen ergibt sich die Indikation für eine sofortige
Operation, aber ich sehe, dass Sie zögern und Zeit brauchen, um sich dafür
zu entscheiden.

145 

Übung 10.4

G104

http:/lextras.springer.com/2017/
978-3-662-53606-3.
10.4 - Hörverständnis

"
9,10,10,"146 Kapitel 10 - Das Aufklärungsgespräch und die ärztliche Gesprächsführung

Übung 10.5

G105

http://extras.springer.com/
2017/978-3-662-53606-3.
10.5 - Hörverständnis

Übung 10.6

Übung 10.7

I- P: Ia, ich merke, je mehr ich mich damit beschäftige, desto mehr Fragen

habe ich. Am liebsten möchte ich noch eine Nacht darüber schlafen und
zunächst Ihre Empfehlung mit meiner Frau besprechen. Danach würde ich
gerne mit Ihnen gemeinsam das weitere Vorgehen festlegen.

A: Einverstanden. Ich ﬁnde es gut, dass Sie sich so ausführlich mit der
Entscheidung auseinandersetzen. Sie zeigen damit, dass Sie auch Verant-
wortung übernehmen möchten. Ich bin gerne weiterhin bereit, mit Ihnen
gemeinsam eine Lösung zu ﬁnden, die sowohl von uns als Kardiologen und
Chirurgen als auch von Ihnen und Ihrer Familie getragen wird. Ich schlage

Ihnen vor, dass Sie zu unserem nächsten Termin auch Ihre Frau mitbringen.

(Fallbeispiel aus: Schweickhardt u. Fritzsche 2007)

10.3 Das schwere Gespräch - Überbringen von schlechten

1.

))

1.

Nachrichten

Im Folgenden ﬁnden Sie eine Sammlung von Zitaten, die alle das Thema
„Kommunikation“ berühren. Lesen Sie sie und diskutieren Sie ihre Bedeutung.
Berücksichtigen Sie dabei folgende Fragen:

a. Welches Zitat gefällt Ihnen besonders gut?

b. Welches Zitat ﬁnden Sie evtl. kritisch oder unverständlich? usw.

Was du tust, schreit so laut, dass ich nicht hören kann, was du sagst.
(Afrikanisches Sprichwort)

Dass man, wenn es in Wahrheit gelingen soll, einen Menschen zu einem
bestimmten Ort zu führen, vor allen Dingen darauf achten muss, ihn dort zu
ﬁnden, wo er ist und dort anfangen. Dieses ist das Geheimnis in jeder Kunst
des Helfens. (...) Um in Wahrheit einem anderen helfen zu können, muss ich
mehr verstehen als er selber - aber doch wohl in erster Linie das verstehen,
was er versteht. (Sören Kierkegaard, dänischer Philosoph)

Das Furchtbarste so sagen, dass es nicht mehr furchtbar ist, dass es
Hoffnung gibt, weil es gesagt ist. (Elias Canetti, Schriftstellerjüdischer
Herkunft)

Mache die Dinge so einfach wie möglich - aber nicht einfacher. (Albert
Einstein)

Wenn Du sprichst, soll dein Reden besser sein als dein Schweigen.
(Arabisches Sprichwort)

Auch wenn das Thema kompliziert ist, braucht das Gespräch darüber

es nicht zu sein. Wenn es als schwenerlebt' wird, dann nicht, weil es
kompliziert ist, sondern weil du versuchst, um etwas herumzureden. (Bent
Falk, dänischer Psychologe und Psychotherapeut)

Die Menschheit zur Freiheit bringen, das heißt, sie zum Miteinander reden
bringen. (Karl Jaspers, deutscher Philosoph)

Was könnten die Zitate in Bezug auf das Thema„ärztliche Gesprächsführung""
und speziell in Bezug auf das Thema„das schwere Gespräch"" bedeuten?
Überlegen Sie und tauschen Sie sich aus. Verwenden Sie dazu - falls

möglich - ITab. 10.3. Zur Überprüfung Ihrer Ergebnisse können Sie im
Lösungsteil (› Kap. 14) nachlesen.

Was bedeutet der Begriff„das schwere Gespräch""? Welche (Kommunikations-)
Situationen im ärztlichen Berufsalltag könnten damit gemeint sein? Sammeln
Sie Ihre Ideen und Gedanken in Form eines Assoziogramms (U Abb. 10.2).

"
